"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!Male","SEX AND AGE!!Female","RACE","RACE!!Total population","RACE!!One race","RACE!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!White","RACE!!Black or African American","RACE!!American Indian and Alaska Native","RACE!!Asian","RACE!!Native Hawaiian and Other Pacific Islander","RACE!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units"
"    2010 Estimate","","3,049,883","49.4%","50.6%","6.5%","6.5%","6.6%","7.2%","6.9%","12.6%","12.0%","14.4%","6.6%","5.8%","7.4%","5.0%","2.5%","38.2","76.2%","71.5%","18.2%","14.8%","2,325,209","48.9%","51.1%","452,823","42.6%","57.4%","","3,049,883","98.2%","1.8%","98.2%","91.5%","3.1%","0.3%","0.0%","0.0%","0.0%","0.1%","1.7%","0.3%","0.3%","0.1%","0.0%","0.2%","0.3%","0.4%","0.0%","N","N","N","N","1.5%","1.8%","0.6%","0.5%","0.3%","0.0%","","3,049,883","93.2%","3.9%","0.9%","2.1%","0.1%","1.8%","","3,049,883","5.0%","4.0%","0.2%","0.0%","0.8%","95.0%","88.6%","3.1%","0.2%","1.7%","0.0%","0.1%","1.4%","0.1%","1.4%","1,337,563"
"    2012 - 2010 Statistical Significance","","c","*","*","*","","","*","*","","*","*","","*","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","","","","","","*","","","","","*","","","*","","","","","*","","*","","","","","c","*","","","*","","*","","c","*","*","","*","","*","*","","","*","*","","","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kansas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","2,885,905","49.7%","50.3%","7.0%","7.0%","7.0%","7.2%","7.3%","13.3%","12.0%","13.5%","6.7%","5.5%","7.2%","4.4%","2.1%","36.0","75.0%","70.2%","16.8%","13.7%","2,164,628","49.3%","50.7%","394,224","43.7%","56.3%","","2,885,905","96.8%","3.2%","96.8%","85.5%","5.8%","0.9%","0.2%","0.0%","0.1%","0.0%","2.5%","0.4%","0.5%","0.2%","0.1%","0.2%","0.5%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","2.0%","3.2%","1.1%","0.9%","0.4%","0.1%","","2,885,905","88.4%","7.3%","2.1%","3.1%","0.2%","2.4%","","2,885,905","10.9%","9.5%","0.4%","0.1%","0.9%","89.1%","77.4%","5.6%","0.8%","2.5%","0.1%","0.0%","2.6%","0.0%","2.6%","1,238,703"
"    2011 Estimate","","2,871,238","49.6%","50.4%","7.0%","6.9%","7.1%","7.2%","7.3%","13.0%","12.2%","13.9%","6.6%","5.5%","6.8%","4.4%","2.1%","36.3","74.8%","70.4%","16.5%","13.3%","2,148,825","49.0%","51.0%","381,959","43.2%","56.8%","","2,871,238","96.6%","3.4%","96.6%","85.1%","5.8%","0.8%","0.2%","0.0%","0.1%","0.0%","2.3%","0.5%","0.4%","0.2%","0.1%","0.1%","0.6%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","2.5%","3.4%","0.9%","1.1%","0.4%","0.2%","","2,871,238","88.1%","7.2%","2.3%","3.0%","0.2%","2.9%","","2,871,238","10.7%","9.0%","0.3%","0.1%","1.3%","89.3%","77.7%","5.7%","0.7%","2.3%","0.1%","0.1%","2.7%","0.0%","2.7%","1,237,738"
"    2012 - 2011 Statistical Significance","","c","*","*","","","","","","*","*","*","","","*","","","*","*","","*","*","*","*","*","*","*","*","","c","","","","*","","","","","","","*","","","","","*","","*","","","","","","*","","","*","","","","c","","","","*","","*","","c","*","*","","","*","*","*","","","*","","","","","","*"
"    2010 Estimate","","2,859,169","49.6%","50.4%","7.2%","7.3%","6.8%","7.3%","7.1%","13.0%","12.2%","14.3%","6.3%","5.3%","6.8%","4.4%","2.1%","36.2","74.6%","70.0%","16.4%","13.3%","2,132,343","49.0%","51.0%","379,035","43.1%","56.9%","","2,859,169","96.9%","3.1%","96.9%","85.2%","5.8%","0.9%","0.2%","0.0%","0.0%","0.1%","2.5%","0.4%","0.6%","0.2%","0.0%","0.2%","0.5%","0.6%","0.0%","N","N","N","N","2.5%","3.1%","0.9%","1.0%","0.3%","0.2%","","2,859,169","88.0%","7.1%","2.3%","3.0%","0.1%","2.9%","","2,859,169","10.5%","8.9%","0.3%","0.1%","1.3%","89.5%","78.1%","5.7%","0.8%","2.5%","0.0%","0.1%","2.4%","0.1%","2.3%","1,234,037"
"    2012 - 2010 Statistical Significance","","c","","","*","*","","","","*","*","*","*","","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","","","","","*","","","","","*","","","","","","","","","*","","*","","","","","c","","","","*","*","*","","c","*","*","","","*","*","*","","","","","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kentucky","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","4,380,415","49.2%","50.8%","6.3%","6.4%","6.7%","6.6%","7.0%","12.8%","13.0%","14.3%","6.9%","6.0%","8.1%","4.3%","1.6%","38.4","76.8%","72.5%","17.5%","14.0%","3,362,436","48.6%","51.4%","613,626","43.3%","56.7%","","4,380,415","98.0%","2.0%","98.0%","87.8%","7.9%","0.2%","0.1%","0.0%","0.0%","0.0%","1.3%","0.3%","0.3%","0.1%","0.1%","0.1%","0.2%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.9%","2.0%","0.9%","0.4%","0.2%","0.1%","","4,380,415","89.6%","9.0%","0.8%","1.6%","0.1%","1.1%","","4,380,415","3.1%","1.8%","0.3%","0.3%","0.7%","96.9%","85.8%","7.8%","0.2%","1.3%","0.0%","0.1%","1.8%","0.0%","1.7%","1,937,321"
"    2011 Estimate","","4,369,356","49.1%","50.9%","6.4%","6.6%","6.5%","6.8%","6.8%","12.9%","13.0%","14.6%","6.6%","6.1%","7.7%","4.2%","1.7%","38.2","76.5%","72.1%","17.3%","13.6%","3,344,357","48.4%","51.6%","593,961","42.9%","57.1%","","4,369,356","98.2%","1.8%","98.2%","87.8%","8.0%","0.2%","N","N","N","N","1.2%","0.3%","0.2%","0.1%","0.1%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","1.0%","1.8%","0.9%","0.4%","0.2%","0.0%","","4,369,356","89.5%","9.1%","0.7%","1.5%","0.1%","1.1%","","4,369,356","3.0%","1.8%","0.3%","0.3%","0.7%","97.0%","86.1%","7.9%","0.2%","1.1%","0.0%","0.1%","1.6%","0.0%","1.6%","1,932,731"
"    2012 - 2011 Statistical Significance","","c","*","*","","*","*","*","*","","","*","*","","*","","","","*","*","*","*","*","*","*","*","*","*","","c","","","","","","","","","","","*","","","","","","","","*","","","","","","","","*","","*","","c","","","","*","","","","c","","","","","","","*","","","*","*","","","","","*"
"    2010 Estimate","","4,346,266","49.2%","50.8%","6.4%","6.5%","6.7%","6.9%","6.8%","13.0%","13.3%","14.7%","6.8%","5.7%","7.5%","4.2%","1.6%","38.0","76.5%","72.2%","16.7%","13.3%","3,324,930","48.5%","51.5%","579,521","42.9%","57.1%","","4,346,266","98.4%","1.6%","98.4%","88.3%","7.7%","0.2%","0.1%","0.0%","0.0%","0.0%","1.1%","0.2%","0.2%","0.1%","0.1%","0.1%","0.2%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","1.0%","1.6%","0.7%","0.4%","0.2%","0.1%","","4,346,266","89.8%","8.6%","0.7%","1.4%","0.1%","1.1%","","4,346,266","3.0%","1.9%","0.2%","0.3%","0.6%","97.0%","86.4%","7.7%","0.2%","1.1%","0.0%","0.1%","1.5%","0.0%","1.4%","1,928,617"
"    2012 - 2010 Statistical Significance","","c","","","*","","","*","*","*","*","*","","*","*","","","*","*","*","*","*","*","","","*","*","*","","c","*","*","*","*","","","","","","","*","","*","","","","","*","","","*","","","","*","*","","*","","","c","","*","","*","","","","c","","","*","","","","*","","","*","","","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Louisiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","4,601,893","48.9%","51.1%","6.7%","6.7%","7.0%","6.8%","7.4%","14.0%","12.3%","13.8%","6.6%","5.7%","7.5%","4.0%","1.5%","36.0","75.7%","71.2%","16.3%","13.0%","3,482,769","48.2%","51.8%","597,750","43.0%","57.0%","","4,601,893","98.3%","1.7%","98.3%","62.8%","32.2%","0.6%","0.1%","0.0%","0.0%","0.0%","1.6%","0.1%","0.3%","0.1%","0.0%","0.1%","0.7%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","1.1%","1.7%","0.6%","0.4%","0.2%","0.1%","","4,601,893","64.3%","33.1%","1.3%","1.9%","0.1%","1.2%","","4,601,893","4.5%","1.7%","0.3%","0.2%","2.2%","95.5%","59.7%","32.0%","0.5%","1.6%","0.0%","0.2%","1.5%","0.1%","1.4%","1,987,059"
"    2011 Estimate","","4,574,836","48.9%","51.1%","6.8%","6.7%","6.9%","7.0%","7.6%","13.8%","12.5%","14.0%","6.5%","5.8%","7.0%","4.0%","1.5%","35.9","75.5%","71.0%","16.0%","12.5%","3,455,588","48.1%","51.9%","571,296","42.5%","57.5%","","4,574,836","98.3%","1.7%","98.3%","62.8%","32.1%","0.6%","0.1%","0.0%","0.0%","0.0%","1.6%","0.2%","0.2%","0.2%","0.0%","0.1%","0.7%","0.2%","0.1%","N","N","N","N","1.0%","1.7%","0.6%","0.4%","0.2%","0.1%","","4,574,836","64.3%","33.0%","1.3%","1.9%","0.1%","1.3%","","4,574,836","4.3%","1.7%","0.3%","0.2%","2.1%","95.7%","60.0%","31.9%","0.6%","1.6%","0.1%","0.2%","1.4%","0.1%","1.3%","1,978,974"
"    2012 - 2011 Statistical Significance","","c","","","*","","","*","*","*","*","*","","","*","","","","*","","*","*","*","","","*","*","*","","c","","","","","","*","","","","","","","","","","","","*","","","","","","","","","","","","","c","","","","","","","","c","*","","","","","*","*","","*","","","","","","","*"
"    2010 Estimate","","4,544,228","49.0%","51.0%","6.9%","6.9%","6.7%","7.1%","7.5%","13.7%","12.6%","14.3%","6.5%","5.4%","6.9%","3.9%","1.5%","35.9","75.4%","70.8%","15.4%","12.3%","3,426,176","48.3%","51.7%","559,589","42.5%","57.5%","","4,544,228","98.5%","1.5%","98.5%","62.8%","32.0%","0.6%","0.1%","0.0%","0.0%","0.0%","1.6%","0.2%","0.2%","0.1%","0.1%","0.1%","0.6%","0.3%","0.1%","0.0%","0.0%","0.0%","0.1%","1.3%","1.5%","0.5%","0.4%","0.2%","0.1%","","4,544,228","64.2%","32.8%","1.2%","1.8%","0.2%","1.5%","","4,544,228","4.3%","1.8%","0.2%","0.2%","2.0%","95.7%","60.3%","31.8%","0.5%","1.6%","0.1%","0.1%","1.3%","0.1%","1.2%","1,967,947"
"    2012 - 2010 Statistical Significance","","c","*","*","*","","*","*","","*","*","*","","*","*","","","","*","*","*","*","*","","","*","*","*","","c","","","","","","","","","","","","","","","*","*","*","*","","","","","","*","","","","","","","c","","*","","","","*","","c","*","","*","","*","*","*","","","","","*","*","","*","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maine","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","1,329,192","49.0%","51.0%","5.0%","5.8%","5.6%","6.4%","6.0%","11.1%","12.2%","15.8%","8.1%","7.1%","9.4%","5.4%","2.2%","43.5","80.0%","75.9%","21.1%","17.0%","1,063,205","48.3%","51.7%","225,973","44.8%","55.2%","","1,329,192","98.0%","2.0%","98.0%","95.1%","1.0%","0.6%","N","N","N","N","1.1%","0.1%","0.2%","0.1%","0.1%","0.1%","0.3%","0.3%","0.0%","N","N","N","N","0.2%","2.0%","0.5%","1.0%","0.3%","0.0%","","1,329,192","97.0%","1.6%","1.7%","1.5%","0.0%","0.3%","","1,329,192","1.4%","0.4%","0.4%","0.1%","0.5%","98.6%","94.1%","1.0%","0.6%","1.1%","0.0%","0.0%","1.8%","0.1%","1.8%","724,187"
"    2011 Estimate","","1,328,188","49.0%","51.0%","5.0%","5.7%","5.9%","6.5%","5.9%","10.9%","12.6%","16.2%","7.7%","7.3%","8.8%","5.3%","2.2%","43.2","79.6%","75.5%","20.8%","16.4%","1,057,866","48.3%","51.7%","217,308","44.2%","55.8%","","1,328,188","98.1%","1.9%","98.1%","95.2%","1.0%","0.6%","N","N","N","N","1.0%","0.1%","0.2%","0.2%","0.1%","0.1%","0.1%","0.2%","0.0%","N","N","N","N","0.2%","1.9%","0.4%","1.0%","0.3%","0.0%","","1,328,188","97.0%","1.5%","1.7%","1.4%","0.0%","0.3%","","1,328,188","1.3%","0.4%","0.4%","0.0%","0.5%","98.7%","94.3%","1.0%","0.6%","1.0%","0.0%","0.0%","1.8%","0.1%","1.7%","725,650"
"    2012 - 2011 Statistical Significance","","c","","","","","","","","*","*","*","*","","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","","","","","","","","","","","","","","*","","","","","","","","","","","","","","c","","","","","","","","c","","","","","","","*","","","","","","","","","*"
"    2010 Estimate","","1,327,567","48.9%","51.1%","5.2%","5.6%","6.0%","6.5%","6.1%","10.9%","12.9%","16.3%","7.4%","7.1%","8.5%","5.3%","2.1%","42.7","79.4%","75.3%","20.0%","15.9%","1,053,916","48.2%","51.8%","210,842","43.9%","56.1%","","1,327,567","98.2%","1.8%","98.2%","95.3%","1.1%","0.5%","N","N","N","N","1.0%","0.1%","0.3%","0.1%","0.0%","0.1%","0.2%","0.1%","0.0%","N","N","N","N","0.2%","1.8%","0.3%","0.9%","0.3%","0.1%","","1,327,567","96.9%","1.6%","1.5%","1.4%","0.1%","0.3%","","1,327,567","1.2%","0.4%","0.3%","0.1%","0.5%","98.8%","94.5%","1.1%","0.5%","1.0%","0.0%","0.0%","1.6%","0.0%","1.6%","722,217"
"    2012 - 2010 Statistical Significance","","c","","","*","","*","","","*","*","*","*","","*","","","*","*","*","*","*","*","","","*","*","*","","c","","","","*","","","","","","","","","","","","","","*","","","","","","","","*","","","","","c","","","","","*","","","c","*","","*","","","*","*","","","","*","","","","","*"
"    2009 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2009 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2008 Estimate","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    2012 - 2008 Statistical Significance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maryland","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2012 Estimate","","5,884,563","48.4%","51.6%","6.2%","6.4%","6.3%","6.7%","6.9%","13.6%","13.2%","15.2%","6.6%","5.9%","7.3%","3.9%","1.8%","38.1","77.2%","73.0%","16.3%","13.0%","4,541,628","47.7%","52.3%","762,681","42.7%","57.3%","","5,884,563","96.9%","3.1%","96.9%","58.1%","29.2%","0.3%","N","N","N","N","5.8%","1.4%","1.4%","0.9%","0.1%","0.8%","0.5%","0.9%","0.0%","0.0%","0.0%","0.0%","0.0%","3.4%","3.1%","1.1%","0.4%","0.6%","0.2%","","5,884,563","60.6%","30.9%","1.1%","6.8%","0.2%","3.9%","","5,884,563","8.7%","1.7%","0.7%","0.2%","6.1%","91.3%","53.8%","28.8%","0.2%","5.7%","0.0%","0.2%","2.5%","0.1%","2.4%","2,395,635"
